	All Space Questions thread for week of January 01, 2023	Scientists Worried Humankind Will Descend Into Chaos After Discovering First Contact	China Plans to Build Nuclear-Powered Moon Base Within Six Years	Why are astronauts' nametags on the left chest now, but used to be on the right side?	NASA And SpaceX Consider Daring Plan To ‘Reboost’ The Hubble Space Telescope	Namioka spaces and strongly Baire spaces	The Fock space as a de Branges-Rovnyak space	Admissibly Represented Spaces and Qcb-Spaces	On Multi-Vector Spaces	On Multi-Metric Spaces
could	0.05904064341010374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
crew	0.0	0.0	0.0	0.0742769384836789	0.0	0.0	0.0	0.0	0.0	0.0
de	0.0	0.0	0.0	0.0	0.0	0.0	0.02038668178117486	0.0	0.0	0.0
definition	0.0	0.0	0.0	0.0	0.0	0.1705618587402997	0.0	0.0	0.0	0.0
detail	0.0	0.0	0.0	0.0742769384836789	0.0	0.0	0.0	0.0	0.0	0.0
development	0.0	0.0	0.0	0.0	0.0	0.08528092937014985	0.0	0.0	0.0	0.0
different	0.0	0.0	0.0	0.0742769384836789	0.0	0.0	0.0	0.0	0.0	0.0
dirichlet	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
discuss	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05116855762208991	0.0	0.0
effective	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05116855762208991	0.0	0.0
effectivity	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
equivalent	0.0	0.0	0.0	0.0	0.0	0.08528092937014985	0.0	0.0	0.0	0.0
every	0.0	0.0	0.0	0.0	0.0	0.1705618587402997	0.0	0.0	0.0	0.0
examples	0.05904064341010374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
exploit	0.0	0.0	0.0	0.0	0.0	0.0	0.06772309097041311	0.0	0.0	0.0
facts	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05116855762208991	0.0	0.0
find	0.05904064341010374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fixedpoint	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fock	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
form	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026754951207243027	0.0	0.0
framework	0.0	0.0	0.0	0.0	0.0	0.0	0.06772309097041311	0.0	0.0	0.0
gemini	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
general	0.0	0.0	0.0	0.0	0.0	0.0	0.047336409189238246	0.0	0.0	0.0
generalized	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08856096511515561
give	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05116855762208991	0.0	0.0
good	0.0	0.0	0.0	0.0742769384836789	0.0	0.0	0.0	0.0	0.0	0.0
group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hardy	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hardysobolev	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
holding	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.128755032994728	0.12380291634108465
idea	0.0	0.0	0.0	0.0742769384836789	0.0	0.0	0.0	0.0	0.0	0.0
imho	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
include	0.0	0.0	0.0	0.0	0.0	0.0	0.06772309097041311	0.0	0.0	0.0
interpolation	0.0	0.0	0.0	0.0	0.0	0.0	0.06772309097041311	0.0	0.0	0.0
introduced	0.0	0.0	0.0	0.0	0.0	0.1337747560362151	0.0	0.0	0.14447673651911233	0.13891993896068494
latter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05116855762208991	0.0	0.0
left	0.0	0.0	0.0	0.0742769384836789	0.0	0.0	0.0	0.0	0.0	0.0
linear	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18420680743952367	0.0
link	0.05904064341010374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
little	0.0	0.0	0.0	0.0742769384836789	0.0	0.0	0.0	0.0	0.0	0.0
making	0.0	0.0	0.0	0.0742769384836789	0.0	0.0	0.0	0.0	0.0	0.0
may	0.05904064341010374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metric	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08856096511515561
moon	0.05904064341010374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
moreover	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
multimetric	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
multispace	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
multispaces	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
multivector	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nametag	0.0	0.0	0.0	0.0742769384836789	0.0	0.0	0.0	0.0	0.0	0.0
nametags	0.0	0.0	0.0	0.0742769384836789	0.0	0.0	0.0	0.0	0.0	0.0
namioka	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nasa	0.0	0.0	0.0	0.0742769384836789	0.0	0.0	0.0	0.0	0.0	0.0
new	0.030871097546818875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
noticed	0.0	0.0	0.0	0.0742769384836789	0.0	0.0	0.0	0.0	0.0	0.0
notion	0.0	0.0	0.0	0.0	0.0	0.11921762314326668	0.0	0.07153057388596001	0.0	0.0
number	0.0	0.0	0.0	0.0	0.0	0.0	0.06772309097041311	0.0	0.0	0.0
obtained	0.0	0.0	0.0	0.0	0.0	0.0	0.10623289449934731	0.0	0.14447673651911233	0.13891993896068494
otherwise	0.05904064341010374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
paper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.128755032994728	0.12380291634108465
people	0.0	0.0	0.0	0.0742769384836789	0.0	0.0	0.0	0.0	0.0	0.0
phases	0.05904064341010374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
please	0.11808128682020748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
politely	0.05904064341010374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
posted	0.05904064341010374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
potential	0.05904064341010374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
present	0.0	0.0	0.0	0.0	0.0	0.0	0.047336409189238246	0.0	0.0	0.0
problems	0.0	0.0	0.0	0.0	0.0	0.0	0.06772309097041311	0.0	0.0	0.0
qcbspaces	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
question	0.11808128682020748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
questions	0.11808128682020748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
read	0.0	0.0	0.0	0.051917352014003236	0.0	0.0	0.0	0.0	0.0	0.0
reformulation	0.0	0.0	0.0	0.0	0.0	0.08528092937014985	0.0	0.0	0.0	0.0
related	0.12380291634108465	0.0	0.0	0.0	0.0	0.0	0.0	0.10729586082894002	0.0	0.0
relationship	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05116855762208991	0.0	0.0
relevant	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05116855762208991	0.0	0.0
represented	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15350567286626973	0.0	0.0
right	0.0	0.0	0.0	0.1485538769673578	0.0	0.0	0.0	0.0	0.0	0.0
rockets	0.05904064341010374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
see	0.08253527756072308	0.0	0.0	0.10383470402800647	0.0	0.0	0.0	0.0	0.0	0.0
sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.06772309097041311	0.0	0.0	0.0
show	0.0	0.0	0.0	0.0	0.0	0.0	0.09467281837847649	0.0	0.0	0.0
shown	0.0	0.0	0.0	0.0	0.0	0.08528092937014985	0.0	0.0	0.0	0.0
side	0.0	0.0	0.0	0.051917352014003236	0.0	0.0	0.0	0.0	0.0	0.0
simple	0.0	0.0	0.0	0.0742769384836789	0.0	0.0	0.0	0.0	0.0	0.0
since	0.0	0.0	0.0	0.0742769384836789	0.0	0.0	0.0	0.0	0.0	0.0
smarandache	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
solve	0.0	0.0	0.0	0.0	0.0	0.0	0.06772309097041311	0.0	0.0	0.0
sort	0.05904064341010374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
space	0.15547369351175513	0.0	0.0	0.0	0.0	0.224573112850313	0.1783374719693662	0.1347438677101878	0.24253896187833804	0.23321054026763272
spaces	0.0	0.0	0.0	0.0	0.0	0.0	0.29644700148869724	0.22398217890257124	0.40316792202462826	0.38766146348521946
special	0.0	0.0	0.0	0.0	0.0	0.0	0.06772309097041311	0.0	0.0	0.0
specializing	0.0	0.0	0.0	0.0	0.0	0.0	0.06772309097041311	0.0	0.0	0.0
strongly	0.0	0.0	0.0	0.0	0.0	0.2558427881104495	0.0	0.0	0.0	0.0
subclass	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05116855762208991	0.0	0.0
subreddit	0.11808128682020748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
suit	0.0	0.0	0.0	0.0742769384836789	0.0	0.0	0.0	0.0	0.0	0.0
survey	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05116855762208991	0.0	0.0
theorem	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08856096511515561
theory	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
thread	0.11808128682020748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
topological	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05116855762208991	0.0	0.0
transfinite	0.0	0.0	0.0	0.0	0.0	0.08528092937014985	0.0	0.0	0.0	0.0
tte	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05116855762208991	0.0	0.0
two	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
type	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
unfavorable	0.0	0.0	0.0	0.0	0.0	0.08528092937014985	0.0	0.0	0.0	0.0
union	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.128755032994728	0.12380291634108465
used	0.0	0.0	0.0	0.0742769384836789	0.0	0.0	0.0	0.0	0.0	0.0
usually	0.0	0.0	0.0	0.0742769384836789	0.0	0.0	0.0	0.0	0.0	0.0
vector	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09210340371976183	0.0
wear	0.0	0.0	0.0	0.0742769384836789	0.0	0.0	0.0	0.0	0.0	0.0
wellbehaved	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
work	0.08253527756072308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
would	0.05904064341010374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
banachs										0.0
